/*--------------------------------*- C++ -*----------------------------------*\
| =========                 |                                                 |
| \\      /  F ield         | OpenFOAM: The Open Source CFD Toolbox           |
|  \\    /   O peration     | Version:  1.6                                   |
|   \\  /    A nd           | Web:      http://www.OpenFOAM.org               |
|    \\/     M anipulation  |                                                 |
\*---------------------------------------------------------------------------*/
FoamFile
{
    version     2.0;
    format      ascii;
    class       dictionary;
    object      airfoilProperties;
}
// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //

airfoilData
(
//   alpha   C_l    C_d
	(	1.300E+02	-9.848E-01	7.629E-01	)
	(	1.350E+02	-1.000E+00	6.500E-01	)
	(	1.400E+02	-9.848E-01	5.371E-01	)
	(	1.450E+02	-9.397E-01	4.277E-01	)
	(	1.500E+02	-8.660E-01	3.250E-01	)
	(	1.550E+02	-7.660E-01	2.322E-01	)
	(	1.600E+02	-6.428E-01	1.521E-01	)
	(	1.650E+02	-5.000E-01	8.710E-02	)
	(	1.700E+02	-3.420E-01	3.920E-02	)
	(	1.750E+02	-1.736E-01	9.900E-03	)
	(	1.800E+02	0.000E+00	0.000E+00	)
);
